"","mean_admix_prop","mean_nugget"
"BantuSouthAfrica",0.1267,0.0248
"SanKhomani",0.0634,0.001
"SanNamibia",8e-04,0.0665
"Hadza",0.1599,0.1468
"BantuKenya",0.0541,0.022
"MbutiPygmy",0.0034,0.1115
"BiakaPygmy",0.0032,0.0384
"Sandawe",0.2227,0.0196
"Yoruba",0.0019,0.016
"Ethiopian",0.4527,0.004
"Mandenka",0.0317,0.0232
"EthiopianJew",0.4301,9e-04
"Egyptian",0.1913,0.0013
"Mozabite",0.275,0.0157
"Moroccan",0.2344,0.0016
"Tunisian",0.2029,0.0061
"Ireland",0.0021,2e-04
"Scottish",0.0034,2e-04
"Spanish",0.0221,0
"Welsh",0.0035,4e-04
"Orcadian",0.0022,0.0032
"English",0.0021,2e-04
"Basque",0.0023,0.0074
"French",0.0024,0
"Norwegian",0.0029,1e-04
"Sardinian",8e-04,0.0072
"NorthItalian",0.0054,1e-04
"GermanyAustria",0.0043,3e-04
"Tuscan",0.0046,2e-04
"WestSicilian",0.0186,1e-04
"EastSicilian",0.015,1e-04
"SouthItalian",0.0135,1e-04
"Polish",0.0012,1e-04
"Hungarian",0.0089,1e-04
"Greek",0.004,1e-04
"Lithuanian",0.0015,3e-04
"Romanian",0.0137,1e-04
"Bulgarian",0.0083,1e-04
"Finnish",0.0073,6e-04
"Belorussian",0.0027,1e-04
"Bedouin",0.1023,0.0059
"Cypriot",0.0058,1e-04
"Palestinian",0.0904,0.0036
"Turkish",0.0617,1e-04
"Druze",0.0378,0.0087
"Jordanian",0.1063,2e-04
"Adygei",0.0434,0.001
"Syrian",0.062,2e-04
"Russian",0.0532,1e-04
"Georgian",0.0017,0.0019
"Armenian",0.0033,1e-04
"Saudi",0.0661,0.0035
"Lezgin",0.0026,5e-04
"Yemeni",0.2462,0.0136
"Chuvash",0.1863,0.002
"Iranian",0.044,1e-04
"UAE",0.1118,4e-04
"Makrani",0.0747,0.0015
"Uzbekistani",0.3832,0
"Brahui",0.042,0.0032
"Balochi",0.0415,2e-04
"Sindhi",0.0502,1e-04
"Hazara",0.3922,2e-04
"Kalash",0.0269,0.0439
"Pathan",0.0635,1e-04
"IndianJew",0.0954,0.0069
"Burusho",0.0814,0.0026
"Indian",0.0992,0.0126
"Uygur",0.4134,1e-04
"Xibo",0.0324,1e-04
"Myanmar",0.0436,4e-04
"Dai",0.0028,1e-04
"Naxi",0.0045,2e-04
"Lahu",0.005,0.0132
"Tu",0.0437,1e-04
"Yi",0.0045,1e-04
"Cambodian",0.1143,2e-04
"HanNchina",0.0052,0
"Miao",0.0019,1e-04
"Tujia",0.0037,1e-04
"Han",7e-04,0
"Mongola",0.036,0
"She",0.0042,9e-04
"Daur",0.0022,1e-04
"Oroqen",0.0017,1e-04
"Yakut",0.0274,0.0108
"Hezhen",0.0024,1e-04
"Japanese",0.0047,0.0036
"Papuan",0.0028,0.0709
"Melanesian",0.0332,0.0381
"Pima",0.0048,0.0503
"Maya",0.0793,0.0021
"Colombian",0.0018,0.0085
"Karitiana",0.0012,0.0685
"Surui",0.0012,0.0995
